Region, Course, Date, Price, Id, Location, Currency, URL 
en-ca, Lean IT Essentials™, Jul 25-26 2024, 2365.0, 6477, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/lean-it-essentials 
en-ca, Lean IT Essentials™, Nov 04-05 2024, 2365.0, 6479, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/lean-it-essentials 
en-ca, DevOps Essentials™, Dec 04-06 2023, 3160.0, 6160, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/devops-essentials 
en-ca, Configuration Management Specialist™, Dec 04-05 2023, 2365.0, 6255, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/configuration-management-specialist 
en-ca, Configuration Management Specialist™, Mar 18-19 2024, 2365.0, 6557, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/configuration-management-specialist 
en-ca, Configuration Management Specialist™, Jun 10-11 2024, 2365.0, 6559, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/configuration-management-specialist 
en-ca, Configuration Management Specialist™, Sep 16-17 2024, 2365.0, 6561, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/configuration-management-specialist 
en-ca, Configuration Management Specialist™, Dec 05-06 2024, 2365.0, 6563, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/configuration-management-specialist 
en-ca, Agile Scrum Essentials™ , Sep 28-29 2023, 2365.0, 6156, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/agile-scrum-essentials 
en-ca, Agile Scrum Essentials™ , Jan 15-16 2024, 2365.0, 6465, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/agile-scrum-essentials 
en-ca, Agile Scrum Essentials™ , Apr 01-02 2024, 2365.0, 6466, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/agile-scrum-essentials 
en-ca, Agile Scrum Essentials™ , Jul 15-16 2024, 2365.0, 6468, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/agile-scrum-essentials 
en-ca, Agile Scrum Essentials™ , Oct 10-11 2024, 2365.0, 6470, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/agile-scrum-essentials 
en-ca, Problem Management: Root Cause Analysis Specialist™, Sep 18-19 2023, 2365.0, 6239, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/problem-management-root-cause-analysis 
en-ca, Problem Management: Root Cause Analysis Specialist™, Dec 11-12 2023, 2365.0, 6241, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/problem-management-root-cause-analysis 
en-ca, Problem Management: Root Cause Analysis Specialist™, Feb 12-13 2024, 2365.0, 6503, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/problem-management-root-cause-analysis 
en-ca, Problem Management: Root Cause Analysis Specialist™, Apr 15-16 2024, 2365.0, 6504, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/problem-management-root-cause-analysis 
en-ca, Problem Management: Root Cause Analysis Specialist™, Jun 17-18 2024, 2365.0, 6507, Web-Based, CAD, https://www.pinkelephant.com/en-ca/course/problem-management-root-cause-analysis 
